Country,City,State,Latitude,Longitude
Germany,Berlin, Berlin,52.517,13.3889
Germany,Hamburg, Hamburg,53.5503,10.0007
Germany,Munich, Bavaria,48.1371,11.5754
Germany,Cologne, North Rhine-Westphalia,50.9384,6.96
Germany,Frankfurt, Hesse,50.1106,8.6821
Germany,Stuttgart, Baden-Württemberg,48.7784,9.18
Germany,Dusseldorf, North Rhine-Westphalia,51.2254,6.7763
Germany,Leipzig, Saxony,51.3406,12.3747
Germany,Dortmund, North Rhine-Westphalia,51.5142,7.4653
Germany,Essen, North Rhine-Westphalia,51.4582,7.0158
Germany,Bremen, Bremen,53.0758,8.8072
Germany,Dresden, Saxony,51.0493,13.7381
Germany,Hanover, Lower Saxony,52.3745,9.7386
Germany,Nuremberg, Bavaria,49.4539,11.0773
Germany,Duisburg, North Rhine-Westphalia,51.435,6.7596
Germany,Bochum, North Rhine-Westphalia,51.4818,7.2197
Germany,Wuppertal, North Rhine-Westphalia,51.264,7.178
Germany,Bielefeld, North Rhine-Westphalia,52.0191,8.531
Germany,Bonn, North Rhine-Westphalia,50.7359,7.1007
Germany,Münster, North Rhine-Westphalia,51.9625,7.6252
Germany,Mannheim, Baden-Württemberg,49.4893,8.4673
Germany,Karlsruhe, Baden-Württemberg,49.0069,8.4034
Germany,Augsburg, Bavaria,48.3668,10.8987
Germany,Wiesbaden, Hesse,50.082,8.2417
Germany,Mönchengladbach, North Rhine-Westphalia,51.1947,6.4354
Germany,Gelsenkirchen, North Rhine-Westphalia,51.511,7.096
Germany,Aachen, North Rhine-Westphalia,50.7764,6.0839
Germany,Brunswick, Lower Saxony,52.2647,10.5236
Germany,Kiel, Schleswig-Holstein,54.3227,10.1356
Germany,Chemnitz, Saxony,50.8323,12.9253
Germany,Halle (Saale), Saxony-Anhalt,51.4825,11.9705
Germany,Magdeburg, Saxony-Anhalt,52.1316,11.64
Germany,Freiburg im Breisgau, Baden-Württemberg,47.9961,7.8494
Germany,Krefeld, North Rhine-Westphalia,51.3331,6.5623
Germany,Mainz, Rhineland-Palatinate,50.0012,8.2763
Germany,Lübeck, Schleswig-Holstein,53.8664,10.6847
