City,State,Latitude,Longitude
Mumbai,Maharashtra,19.0760,72.8777
Delhi,Delhi,28.6139,77.2090
Bangalore,Karnataka,12.9716,77.5946
Hyderabad,Telangana,17.3850,78.4867
Chennai,Tamil Nadu,13.0827,80.2707
Kolkata,West Bengal,22.5726,88.3639
Pune,Maharashtra,18.5204,73.8567
Ahmedabad,Gujarat,23.0225,72.5714
Jaipur,Rajasthan,26.9124,75.7873
Surat,Gujarat,21.1702,72.8311
Lucknow,Uttar Pradesh,26.8467,80.9462
Kanpur,Uttar Pradesh,26.4499,80.3319
Nagpur,Maharashtra,21.1458,79.0882
Indore,Madhya Pradesh,22.7196,75.8577
Thane,Maharashtra,19.2183,72.9781
Bhopal,Madhya Pradesh,23.2599,77.4126
Visakhapatnam,Andhra Pradesh,17.6868,83.2185
Patna,Bihar,25.5941,85.1376
Vadodara,Gujarat,22.3072,73.1812
Ghaziabad,Uttar Pradesh,28.6692,77.4538
Ludhiana,Punjab,30.9010,75.8573
Agra,Uttar Pradesh,27.1767,78.0081
Nashik,Maharashtra,19.9975,73.7898
Faridabad,Haryana,28.4089,77.3178
Meerut,Uttar Pradesh,28.9845,77.7064
Rajkot,Gujarat,22.3039,70.8022
Varanasi,Uttar Pradesh,25.3176,82.9739
Srinagar,Jammu and Kashmir,34.0837,74.7973
Aurangabad,Maharashtra,19.8762,75.3433
Dhanbad,Jharkhand,23.7957,86.4304
Amritsar,Punjab,31.6340,74.8723
Allahabad,Uttar Pradesh,25.4358,81.8463
Ranchi,Jharkhand,23.3441,85.3096
Howrah,West Bengal,22.5958,88.2636
Coimbatore,Tamil Nadu,11.0168,76.9558
Jabalpur,Madhya Pradesh,23.1815,79.9864
Gwalior,Madhya Pradesh,26.2183,78.1828
Vijayawada,Andhra Pradesh,16.5062,80.6480
Jodhpur,Rajasthan,26.2389,73.0243
Madurai,Tamil Nadu,9.9252,78.1198
Raipur,Chhattisgarh,21.2514,81.6296
Kota,Rajasthan,25.2138,75.8648
Chandigarh,Chandigarh,30.7333,76.7794
Guwahati,Assam,26.1445,91.7362
Solapur,Maharashtra,17.6599,75.9064
Hubli-Dharwad,Karnataka,15.3647,75.1240
Mysore,Karnataka,12.2958,76.6394
Tiruchirappalli,Tamil Nadu,10.7905,78.7047
Salem,Tamil Nadu,11.6643,78.1460 
